sentence_id,words,labels
4452,Musuq,B-LOC
1508,pruwinsya,I-LOC
2310,Manuel,B-PER
4853,Carpio,I-PER
4937,Paola,I-PER
2456,pantiyun,I-LOC
4728,Antonio,B-PER
3161,Miguel,I-LOC
1515,Chupasapa,B-LOC
2144,',O
2526,distritu,I-LOC
4224,Pupuha,I-LOC
1830,Murlupu,B-ORG
4887,Dammert,I-PER
1034,'Vultur,O
1216,PUSAPUNA,O
617,PUSAPUNA,O
416,Manqu,B-PER
2386,),I-LOC
1136,amachasqa,I-ORG
1806,Mariano,B-PER
4645,Alejandrotaka,B-PER
1620,redirección,O
4947,Córdoba,I-PER
231,mama,I-ORG
5184,Guillén,I-PER
2498,Waras,B-LOC
2131,Ariqipa,B-LOC
1904,UNESCO,B-ORG
1972,18,O
1232,(,O
829,marka,I-LOC
1663,Willkapampa,B-LOC
421,[[Wampurushu,O
1137,Luis,I-ORG
1742,2014,I-ORG
5025,Javier,B-PER
2428,(,O
4586,Mama,B-ORG
1683,Hayt'ay,I-ORG
2046,Lachay,B-LOC
891,',O
1770,Amarumayu,B-LOC
5062,Castro,I-PER
4161,Salitral,B-LOC
5189,Guillén,I-PER
4905,Chávez,I-PER
2019,**,O
1981,Tiksi,I-PER
3110,distritu,I-LOC
3466,Uquyu,B-LOC
2408,Pachantin,I-ORG
1228,.,O
739,Noel,B-ORG
5371,llaqta,I-LOC
2250,Wamanqapi,B-ORG
2275,José,B-PER
5172,Rooney,I-PER
5124,Santos,I-PER
1597,Chuqiyapu,B-LOC
1592,1994,I-ORG
2164,situwa,I-LOC
3248,Ichukan,B-LOC
886,.,O
1278,.,O
2873,Medrano,I-LOC
1664,llaqtam,O
5415,Chinchay,B-LOC
2243,pinchaque,O
2544,La,B-LOC
1193,Jututu,B-LOC
5147,Bellido,I-PER
5282,Garcés,I-PER
1732,',O
2340,Huñu,I-ORG
1438,Kuntur,B-LOC
2019,',O
1348,Kupa,I-ORG
363,1986,I-ORG
50,.,O
679,",",O
776,Piluta,B-ORG
3271,distritu,I-LOC
955,Pedro,I-LOC
2733,La,B-LOC
2014,Eliodoro,B-PER
1581,Nyerere,I-PER
2137,Trichomycterus,O
751,',O
5216,Jacinto,B-PER
2275,Pardo,I-PER
5309,Zarategui,I-PER
4754,Gates,I-PER
4892,Vásquez,I-PER
3038,pruwinsya,I-LOC
1328,Juan,I-LOC
945,(,O
1565,Alpamayo,O
180,Hunin,I-LOC
4711,Joseph,B-PER
2200,Qhapaq,B-LOC
3862,distritu,I-LOC
2045,.,O
250,suyukuna,I-ORG
2573,Villa,B-LOC
829,Esmeraldas,B-LOC
94,),O
1841,),I-PER
4986,Bolaños,I-PER
1432,',O
86,Federal,I-ORG
4588,Hugo,I-PER
2430,.,O
144,Qhapaq,I-LOC
735,Hatun,B-LOC
1957,(,O
5157,de,I-PER
2076,Augusta,B-LOC
3472,Awaycha,B-LOC
2514,suyu,I-LOC
2272,'Tayassu,O
36,Zacatecas,B-ORG
435,T'uru,B-ORG
2396,risirwa,I-LOC
429,Chuqiyapu,B-LOC
239,),O
429,suyu,I-LOC
127,Hua,B-PER
4853,Daniel,B-PER
1476,-,O
454,Inti,B-LOC
2382,1898–1936,O
1429,),O
4250,Quqata,B-LOC
2102,Llaqtap,I-ORG
2413,Arguedas,I-PER
203,Kantarawi,B-LOC
3036,Kankallu,B-LOC
685,Schumann,I-PER
5329,Silvia,I-PER
34,.,O
1232,),O
4448,Campoverde,B-LOC
3329,Llusk'u,B-LOC
276,',O
5362,mamallaqta,I-LOC
737,",",O
1799,'Pecari,O
1891,pruwinsyaqa,O
4463,Mi,B-LOC
2522,Kallampa,B-LOC
1790,2014,I-ORG
4810,Avilés,I-PER
3359,Paruru,B-LOC
269,Petra,B-ORG
609,Uru,B-LOC
1858,Bach,I-PER
4816,Gustavo,I-PER
609,",",O
1658,-,O
1417,Kupa,I-ORG
4785,Pigafetta,I-PER
2546,distritu,I-LOC
503,Villarroel,I-LOC
1514,Punu,B-LOC
573,Guillermo,B-PER
275,.,O
4993,Rodolfo,I-PER
2096,Q'ara,I-LOC
2702,Aquchaka,B-LOC
323,Trezeguet,I-PER
664,de,I-LOC
284,Kungu,B-LOC
5092,Kleopatra,B-PER
1427,Festuca,O
718,",",O
990,Tukuy,B-ORG
253,Mama,I-ORG
2145,),O
3170,distritu,I-LOC
4539,Juan,B-PER
5372,risirwa,I-LOC
5343,munisipyu,I-LOC
823,",",O
4108,Ana,I-LOC
170,llaqtanqa,I-LOC
3738,Unyun,B-LOC
385,San,B-LOC
309,Constantinescu,I-PER
4177,Arena,I-LOC
2967,Pastor,I-LOC
304,Chakamarka,B-ORG
4046,Panduro,I-LOC
1980,Rafael,I-ORG
1324,llaqta,I-ORG
1627,Santana,I-ORG
3070,distritu,I-LOC
4013,pruwinsya,I-LOC
1110,(,O
4147,Sicchez,B-LOC
4578,Sunturnin,I-ORG
316,',O
4304,Pedro,I-LOC
4656,Helena,B-PER
869,',O
5207,Palas,I-PER
1544,',O
1830,',O
1148,Titiqaqa,B-LOC
1577,Luritu,B-LOC
838,Uma,B-LOC
1746,-,O
973,Bellini,I-PER
4329,Martín,I-LOC
4576,nisqa,I-ORG
4177,distritu,I-LOC
4730,Corcuera,I-PER
323,David,B-PER
2696,distritu,I-LOC
2923,distritu,I-LOC
692,Humala,I-PER
2965,distritu,I-LOC
2726,Vista,I-LOC
2193,.,O
4884,Edmund,B-PER
2173,),O
1145,Iliescu,I-PER
1842,Iliescu,I-PER
3221,Juan,I-LOC
162,Ariqipa,I-LOC
3515,Kanchapampa,B-LOC
1752,),O
2290,thula,O
1809,Yatana,B-ORG
2169,pusapuna,O
1199,Rimaq,B-LOC
4104,Chakayan,B-LOC
1806,',O
4139,pruwinsya,I-LOC
358,',O
4351,Pachisa,B-LOC
1931,Siq'isqa,B-PER
1849,Franz,B-PER
1015,),O
5320,Anita,B-PER
2582,distritu,I-LOC
3569,Chupan,B-LOC
2210,de,I-ORG
2381,",",O
5210,Dirac,I-PER
2649,distritu,I-LOC
2115,.,O
1885,oboe,O
923,23,O
4745,Meneses,I-PER
2280,walla,I-ORG
5226,Hersleb,I-PER
3901,Asia,B-LOC
679,Antikuna,B-LOC
1228,Huwan,B-PER
953,',O
4687,Salinas,I-PER
5366,willkachasqa,I-LOC
1101,'Ispañarrí,O
1551,.,O
4381,distritu,I-LOC
1643,Yana,B-LOC
4676,Mario,B-PER
1027,Brasil,B-LOC
2332,Andrés,I-PER
210,Bronchus,O
2304,',O
5401,walla,I-LOC
977,),O
1059,mamallaqta,I-ORG
718,suyu,I-LOC
5120,Ana,B-PER
1213,parki,I-ORG
1344,',O
1118,Kupa,I-ORG
1082,),I-LOC
316,José,B-PER
3148,distritu,I-LOC
2382,Lorca,I-PER
2133,Piluta,B-ORG
1308,',O
1932,(,O
2337,Casas,I-PER
789,San,I-ORG
151,Escrito,O
844,6,O
2570,Mar,I-LOC
3191,distritu,I-LOC
5318,Ramella,I-PER
516,',O
2587,distritu,I-LOC
4150,distritu,I-LOC
5062,Madriz,I-PER
2158,Kupa,I-ORG
1800,Isiboro,B-ORG
1002,sallqa,I-ORG
2370,Nurwiga,B-LOC
662,qhapaq,I-ORG
866,sutip,I-ORG
1552,Uma,B-LOC
1865,Solano,I-PER
497,Pachalluq'i,B-LOC
4990,William,B-PER
273,llaqtanqa,I-LOC
2087,llaqta,I-ORG
2144,Cristal,I-ORG
4379,distritu,I-LOC
2603,Chiliquín,B-LOC
5129,Baquíjano,I-PER
382,llaqta,I-ORG
1708,),I-LOC
100,Djorkaeff,I-PER
1200,qucha,I-LOC
2307,",",O
3593,Aquijes,I-LOC
5351,mamallaqta,I-LOC
650,',O
3981,Asanqaru,B-LOC
1387,',I-LOC
2193,Uma,B-LOC
115,Kunsipsyun]],O
5370,Pampa,B-LOC
2539,Chorrillos,B-LOC
4667,Isabelita,B-PER
4706,Octavio,I-PER
3068,distritu,I-LOC
620,',O
3701,Mukiyawyu,B-LOC
2215,Linneo,B-PER
2256,Piluta,B-ORG
4223,Salinas,I-LOC
991,/,O
4048,distritu,I-LOC
2244,Taqna,B-LOC
2191,San,I-PER
775,.,O
4662,Maximiliano,B-PER
5398,chaku,I-LOC
4059,Inawaya,B-LOC
2794,distritu,I-LOC
2138,distritu,I-LOC
5021,Zamora,I-PER
1748,Qhichwa,B-ORG
4981,Margarita,I-PER
4699,Gabriel,I-PER
3626,pruwinsya,I-LOC
1105,thilius,O
4662,Hernández,I-PER
994,'Vultur,O
4468,Manuelmi,B-PER
986,munisipyu,I-LOC
1665,(,O
36,llaqtam,O
845,Wallan,I-LOC
4715,de,I-PER
2710,Mankas,B-LOC
5199,Omar,B-PER
5117,de,I-PER
2310,',O
5405,del,I-LOC
2270,(,I-LOC
4709,Argentino,I-PER
2956,Uchumayu,B-LOC
1856,kancha,I-ORG
4882,Gonzalo,B-PER
4369,Kashamarka,I-LOC
1374,Gluck,I-PER
2791,distritu,I-LOC
5132,Corcuera,I-PER
2614,distritu,I-LOC
5386,llaqta,I-LOC
748,sallqa,I-ORG
1809,phukulli,I-ORG
3238,San,B-LOC
2388,Elías,I-PER
3132,Pawqaray,B-LOC
3501,Qayna,B-LOC
1701,1986,I-ORG
800,Kupa,I-ORG
4347,Zapatero,B-LOC
1667,parki,I-ORG
1740,REDIRECCIÓN,O
418,1974,I-ORG
4359,Pikuta,B-LOC
2345,qhapana,I-LOC
789,Markus,I-ORG
1611,-,O
1079,José,B-PER
1435,distritu,I-LOC
4578,Yachay,I-ORG
1932,),O
4952,Francisco,B-PER
1439,(,I-LOC
757,Pachantin,I-ORG
4539,Fernandezmi,I-PER
4948,Madero,I-PER
2120,Chiqa,B-LOC
5190,Nieto,B-PER
5325,Luiswan,I-PER
2378,),O
2980,Wanuwanu,B-LOC
5264,Costas,I-PER
1177,',O
3338,distritu,I-LOC
163,),O
3993,Lincha,B-LOC
2408,1998,I-ORG
5257,Rodrigo,B-PER
4963,la,I-PER
3464,Domingo,I-LOC
848,FC,B-ORG
127,',O
5201,Óscar,B-PER
2413,),O
4905,Lissón,I-PER
2250,Llaqtap,I-ORG
2691,pruwinsya,I-LOC
4673,Belaúnde,I-PER
1076,lagopus,O
1905,.,O
4577,Markus,I-ORG
5339,Astrid,I-PER
2368,Zuazo,I-PER
3490,Leoncio,B-LOC
605,',O
3368,Pawqartampu,B-LOC
4079,Sánchez,I-LOC
4871,Barrientos,B-PER
441,1961-1989,O
3942,distritu,I-LOC
3884,Barranca,B-LOC
3314,distritu,I-LOC
2148,Alfredo,B-PER
67,PUSAPUNA,O
324,Wayupata,B-LOC
5080,Juan,B-PER
5400,Güeppí,B-LOC
5061,José,B-PER
3546,Runtus,B-LOC
1330,Churuti,B-ORG
1993,),O
2287,Tawantinsuyuta,B-ORG
2449,Ishpinku,B-LOC
3247,Eduardo,B-LOC
5416,qucha,I-LOC
2809,distritu,I-LOC
1139,Yachay,I-ORG
2527,distritu,I-LOC
1618,Kupa,I-ORG
5005,Muñoz,I-PER
1374,Ludwig,B-PER
588,Clarinetto,O
1909,',O
2014,--,O
2429,Justo,B-PER
1656,',O
3844,José,B-LOC
1093,Kay,O
5358,Ichigkat,B-LOC
1902,León,I-PER
5039,John,B-PER
3657,Quchas,B-LOC
1792,Kunti,I-LOC
2305,parkipi,I-ORG
2053,Pachata,I-ORG
5072,de,I-PER
373,suyukuna,I-ORG
1243,Xianfan,I-PER
1804,Velasco,I-PER
4015,pruwinsya,I-LOC
876,',O
75,1945-1951,O
77,la,I-PER
2565,Isidro,I-LOC
4818,Camilo,B-PER
4000,Joaquín,I-LOC
4163,Mossa,I-LOC
1561,.,O
2428,Tuku,B-LOC
83,Wallan,I-LOC
719,(,O
3585,Chincha,B-LOC
974,',O
3339,Hanan,B-LOC
1410,.,O
1383,.,O
911,REDIRECCIÓN,O
4916,Sabato,I-PER
511,de,I-PER
235,T'uru,B-ORG
217,.,O
4122,Pallanchakra,B-LOC
4024,Morona,B-LOC
2371,Iglesias,I-PER
4576,Rimana,I-ORG
4008,Amazonas,I-LOC
1883,'Harpia,O
2830,distritu,I-LOC
704,awqaqsuyupis,O
5067,y,I-PER
3936,Laraw,B-LOC
2424,.,O
1250,",",O
4721,Andres,B-PER
1146,Martín,I-PER
937,Yachay,I-ORG
1663,Killapampa,B-LOC
3451,Wayllawara,B-LOC
2787,Quchas,B-LOC
1346,Eisenhower,I-PER
2419,.,O
1252,",",O
5252,Gómez,I-PER
2636,distritu,I-LOC
5356,parki,I-LOC
2539,distritu,I-LOC
205,llaqta,I-ORG
4327,Yuraq,B-LOC
1320,Lie,I-PER
397,llaqtanqa,I-LOC
4063,Pampa,I-LOC
2832,Ullulluku,B-LOC
969,",",O
1726,suyu,I-ORG
4169,Payta,B-LOC
5388,risirwa,I-LOC
3296,distritu,I-LOC
1557,suyu,I-LOC
1524,De,I-PER
1115,",",O
1162,'Fulica,O
5117,San,I-PER
364,1994,I-ORG
1916,munisipyu,I-LOC
1627,Feira,I-ORG
969,Khallka,B-LOC
1758,clarinete,O
1823,Castro,I-PER
4998,Herman,B-PER
4392,Uchisa,B-LOC
4555,Amaliya,B-PER
2988,Mach'aqway,B-LOC
3226,Wallqayuq,B-LOC
814,Laja,B-ORG
4752,Bernardo,B-PER
4687,Hernán,I-PER
215,amachana,I-LOC
743,kaynin,I-ORG
3247,distritu,I-LOC
1597,Tamayo,I-LOC
5077,Juan,B-PER
643,Pichincha,B-LOC
4859,David,B-PER
874,Ariqipa,B-LOC
2859,Kachi,B-LOC
2901,distritu,I-LOC
635,Piruw,B-ORG
3314,Lanki,B-LOC
5030,González,I-PER
3962,Karkin,B-LOC
301,Domingo,I-PER
3755,pruwinsya,I-LOC
136,Madrid,I-ORG
796,parki,I-LOC
4389,distritu,I-LOC
1567,ñawpa,I-LOC
5321,Cáceres,I-PER
4971,George,B-PER
2189,.,O
5376,llaqta,I-LOC
1177,Michael,B-PER
1421,munisipyu,I-LOC
2038,PUSAPUNA,O
1560,.,O
2469,Pukyumanta,B-LOC
1853,suyukuna,I-ORG
2965,Piérola,I-LOC
412,Elena,I-PER
646,Wasin,I-ORG
1717,',O
445,",",O
2489,vilkaswamanmanmi,B-LOC
62,Santísima,I-ORG
3937,Maryatana,B-LOC
428,Clarinetto,O
3344,Uqururu,B-LOC
947,(,O
12,'Ara,O
1956,Siq'isqa,B-PER
2097,mama,I-ORG
4856,Dante,B-PER
236,parki,I-ORG
806,4,O
4135,Piwra,B-LOC
478,kunankamapas,O
4702,Horacio,I-PER
2374,NAZARETH,I-PER
460,llaqta,I-ORG
839,la,I-ORG
5240,Prialé,I-PER
2974,Chaparra,B-LOC
2875,Ayaway,B-LOC
1939,de,I-PER
780,de,I-PER
559,Lima,I-LOC
4136,Sichura,B-LOC
2495,Chili,B-LOC
2935,Kusisach'a,I-LOC
5053,de,I-PER
2156,Domingo,I-LOC
3545,Qirupallqa,B-LOC
873,1924-2006,O
1858,",",O
5166,Maya,B-PER
411,hunuchá,O
498,',O
4062,Sarayaku,B-LOC
1399,qhichwa,I-ORG
5053,Uriburu,I-PER
5341,Ibrahimovic,I-PER
1668,',O
374,Gylmar,B-PER
3985,Chuqus,B-LOC
4075,Inampari,B-LOC
2441,Gonzalo,B-PER
2424,',O
1997,Antikuna,B-LOC
1004,Hugo,B-PER
2654,distritu,I-LOC
1744,",",O
5112,Peña,I-PER
3547,distritu,I-LOC
77,Barca,I-PER
1490,1994,I-ORG
1036,Tomás,I-PER
1316,distritu,I-LOC
1459,parki,I-ORG
850,pruwinsya,I-LOC
2129,Ikwadur,B-LOC
3250,Gregorio,B-LOC
1814,Pavón,I-PER
2821,Quyshqu,B-LOC
4668,Eva,B-PER
427,VIII,I-PER
3263,Gregorio,I-LOC
4247,Wayna,B-LOC
1264,Kuntur,B-LOC
1856,Kuntur,I-ORG
5354,mamallaqta,I-LOC
1758,'Concierto,O
651,cyanoptera,O
5221,Molina,I-PER
122,Totora,I-LOC
5355,mamallaqta,I-LOC
1970,Wallan,I-LOC
1512,Pachantin,I-ORG
692,.,O
5175,Unamuno,I-PER
3832,Purutu,B-LOC
1254,Salinas,B-LOC
3142,distritu,I-LOC
437,.,O
2764,Quchapitiq,B-LOC
1732,melanoleucus,O
816,walla,I-ORG
2359,(,I-LOC
2761,distritu,I-LOC
5192,Nino,B-PER
1046,2014,I-ORG
106,Rimay,B-ORG
823,(,O
2301,'Tinamotis,O
3440,Larya,B-LOC
680,Palaeosuchus,O
168,pusapuna,O
4004,Tumas,B-LOC
3154,pruwinsya,I-LOC
902,llaqtam,O
2101,Llaqtap,I-ORG
1815,Burinkin,B-ORG
2446,Guerra,I-PER
15,ñawpa,I-ORG
5042,Nunes,I-PER
2898,distritu,I-LOC
1969,Hayt'ay,I-ORG
5056,José,B-PER
892,Ollanta,B-PER
1280,urqu,I-LOC
1003,',O
575,Pachantin,I-ORG
2096,Nasa,I-LOC
782,.,O
686,Pilas,I-LOC
765,Qhichwa,B-LOC
1773,parki,I-ORG
2092,Q'imi,B-LOC
1985,kitilli,I-LOC
5165,Alvear,I-PER
2948,Sach'aka,B-LOC
3093,distritu,I-LOC
1886,',O
3966,distritu,I-LOC
5008,Garcilaso,I-PER
744,Pachantin,I-ORG
4776,Olcay,I-PER
2357,Kupa,I-ORG
2157,',O
543,',O
213,Pachantin,I-ORG
2188,',O
254,',O
3957,Wankayri,B-LOC
466,llaqta,I-ORG
299,),I-LOC
596,San,B-ORG
2261,/,O
1243,),O
1087,Mamallaqta,I-ORG
4459,Qallaw,I-LOC
1279,venaticus,O
2455,Wamangamantam,B-LOC
4848,Cristóbal,B-PER
4592,Albam,I-PER
5056,de,I-PER
4935,Moreno,I-PER
1926,de,I-PER
5132,Antonio,I-PER
1875,.,O
1232,rimaqniyuq,O
262,.,O
5427,Salinas,B-LOC
1211,Aswanta,O
4620,Palominoq,I-PER
1674,Uma,B-LOC
3728,Satipu,B-LOC
2809,Qataq,B-LOC
347,Yala,I-LOC
2115,Universitario,B-ORG
3299,distritu,I-LOC
3355,Villa,B-LOC
1940,Quito,O
3066,distritu,I-LOC
425,mama,I-ORG
5354,parki,I-LOC
4365,Ponasa,I-LOC
4747,Belisario,B-PER
742,suyu,I-LOC
1342,La,B-LOC
677,',O
2354,',O
333,1986,I-ORG
748,Apulupampa,B-ORG
1468,Lipis,B-LOC
1724,.,O
2057,',O
869,Ramón,B-PER
5114,Arhintinap,I-PER
281,Yachay,I-ORG
74,de,I-PER
1747,),I-PER
2099,Kuntur,B-LOC
1428,',O
328,sp,O
4755,Valencia,I-PER
2430,14,O
1632,.,O
1877,Yachay,I-ORG
1187,(,I-LOC
3033,distritu,I-LOC
1979,marsupialis,O
1630,Hayt'ay,I-ORG
994,),O
2829,distritu,I-LOC
1704,distritu,I-LOC
2790,distritu,I-LOC
479,mama,I-ORG
1856,-,I-ORG
317,†1999,O
4590,Manuel,I-PER
4742,Herrera,I-PER
3106,distritu,I-LOC
252,.,O
1485,Pachantin,I-ORG
502,AS,B-ORG
4540,Jarwincho,I-PER
1254,Mendoza,I-LOC
1672,",",O
24,Pachantin,I-ORG
1857,(,I-LOC
578,Qhapaq,I-PER
204,Piluta,B-ORG
866,'Pronombres,O
23,Alma,O
3375,distritu,I-LOC
1193,jamesi,O
1859,),O
1134,Inka,I-PER
1167,1990,I-ORG
1964,Santiago-Kumayna,B-ORG
3635,Shuwaru,I-LOC
1951,de,I-PER
777,sutiwan,O
1561,.,O
1666,",",O
1427,),O
1791,mama,I-ORG
1696,pusapuna,O
2962,distritu,I-LOC
2115,.,O
4796,Eva,I-PER
2288,llaqta,I-ORG
286,Hayt'ay,I-ORG
1857,),I-LOC
265,',O
5064,José,B-PER
1438,(,O
1858,Georg,B-PER
1190,.,O
2108,-,I-ORG
796,llaqta,I-LOC
3491,Marañun ,B-LOC
4465,wamani,I-LOC
1053,10,O
4616,Kutipata,I-PER
2083,Arapa,B-LOC
5347,mamallaqta,I-LOC
628,',O
3859,Saña,B-LOC
4746,Bilbao,I-PER
1066,',O
536,PUSAPUNA,O
4628,Wiraqucha,B-PER
2463,Uripakamallam,B-LOC
2280,PUSAPUNA,O
1631,",",O
1016,phukulli,I-ORG
3751,pruwinsya,I-LOC
4690,Rita,B-PER
1379,suksu,I-LOC
1380,Hatun,I-ORG
3187,Utku,B-LOC
1214,Tukuy,B-ORG
445,Ika,B-LOC
1008,',O
3126,Chalqus,B-LOC
145,1990,I-ORG
971,Simi,I-ORG
2137,Such'i,B-LOC
1936,Rowling,I-PER
5135,Maria,B-PER
2353,.,O
2572,distritu,I-LOC
1010,(,O
5117,Sixto,I-PER
4771,Carmelón,B-PER
1308,.,O
3241,La,B-LOC
2795,distritu,I-LOC
232,PUSAPUNA,O
5182,Nelson,B-PER
1696,Linné,I-PER
740,Pachantin,I-ORG
752,Francisco,B-PER
427,',O
1198,Chilipi,B-ORG
74,',O
4523,Teofiloqa,B-PER
830,(,O
148,K.,I-PER
422,(,O
4963,de,I-PER
5316,Gogh,I-PER
410,kaynin,I-ORG
4716,Alicia,B-PER
777,suticharqa,O
833,km,O
5239,Delgado,I-PER
272,suyu,I-LOC
3145,Waya,B-LOC
945,Flauto,O
4704,Pizangoqa,I-PER
3012,distritu,I-LOC
4223,distritu,I-LOC
68,Tarikiya,B-ORG
620,.,O
3925,Aqu,I-LOC
2665,mayu,I-LOC
3151,distritu,I-LOC
1165,.,O
615,Platon,B-PER
3111,Puyusqa,B-LOC
1822,Kupa,I-ORG
4922,Evaristoqa,B-PER
1743,',O
1013,',O
1038,'Plaza,O
170,de,I-ORG
678,García,I-PER
1768,'Falco,O
1075,San,B-LOC
1889,Manawi,B-LOC
5135,Adelaide,I-PER
385,distritu,I-LOC
3815,Marcabal,B-LOC
4765,Julio,I-PER
1574,Guanajuato,B-ORG
634,Pisunay,B-LOC
426,Hayt'ay,I-ORG
5417,Aquphiya,B-LOC
2748,distritu,I-LOC
2535,Ate,B-LOC
1835,Nieto,I-LOC
1594,',O
212,Buliwya,I-ORG
1568,kiti,I-LOC
137,1893-1976,O
4548,Andrés,B-PER
2314,Uma,B-PER
616,.,O
643,marka,I-LOC
1489,Kamasqa,O
392,llaqta,I-LOC
963,Norberto,B-PER
4291,Vilcapaza ,I-LOC
1674,llaqtanqa,I-LOC
4942,Francisco,B-PER
1626,Piluta,B-ORG
1071,.,O
2269,Atawallpa,B-PER
1857,Sawaya,I-LOC
98,.,O
2094,la,O
3336,distritu,I-LOC
996,',O
1977,Kupa,I-ORG
1562,bóveda,O
3557,Buenaventura,I-LOC
1661,Guzmán,I-PER
5386,Sira,B-LOC
1898,Toribio,B-PER
3051,Tutu,B-LOC
1417,Hayt'ay,I-ORG
579,",",O
1223,',O
3168,Namura,B-LOC
3966,María,I-LOC
889,suyup,I-ORG
679,Los,B-LOC
5344,pruwinsya,I-LOC
734,pusapuna,O
5144,Caserta,I-PER
5134,Margaret,B-PER
5157,Porres,I-PER
1154,),I-LOC
1189,.,O
26,',O
672,Dar,B-LOC
2289,(,O
890,occipitalis,O
3077,distritu,I-LOC
1848,.,O
1053,Fernando,B-PER
417,-,O
4814,Raquel,B-PER
624,llaqtapiqa,O
2192,runakunap,I-ORG
954,',O
4344,de,I-LOC
4146,Sapillica,B-LOC
633,glomeratus,O
2129,",",O
1309,Terenci,B-PER
1623,Piluta,B-ORG
1739,Apulupampa,B-ORG
1386,-,O
5183,Cazorla,I-PER
2000,Yawyu,B-LOC
2423,1994,I-ORG
5211,Samuelson,I-PER
339,.,O
1668,',O
3082,Ayna,B-LOC
5387,ayllu,I-LOC
2347,.,O
411,(,O
657,Tunkurawa,B-LOC
672,administrative,O
